Date,Open,High,Low,Close
4/3/2011 21:00:00,1.41562,1.42451,1.4054,1.42314
4/4/2011 21:00:00,1.42309,1.4268,1.41925,1.42203
4/5/2011 21:00:00,1.42207,1.42454,1.41514,1.42209
4/6/2011 21:00:00,1.42198,1.4349,1.42058,1.4329
4/7/2011 21:00:00,1.4332,1.43369,1.4242,1.43082
4/10/2011 21:00:00,1.43084,1.44868,1.4291,1.44694
4/11/2011 21:00:00,1.44638,1.44832,1.44204,1.44328
4/12/2011 21:00:00,1.44332,1.45192,1.43769,1.44732
4/13/2011 21:00:00,1.44722,1.452,1.44131,1.44463
4/14/2011 21:00:00,1.44458,1.45142,1.43648,1.44872
4/17/2011 21:00:00,1.44871,1.45033,1.43901,1.44164
4/18/2011 21:00:00,1.44165,1.44203,1.41566,1.42284
4/19/2011 21:00:00,1.4229,1.43531,1.42047,1.43345
4/20/2011 21:00:00,1.4334,1.45478,1.43276,1.45224
4/21/2011 21:00:00,1.4523,1.46483,1.45049,1.45523
4/24/2011 21:00:00,1.4552,1.45882,1.45328,1.45418
4/25/2011 21:00:00,1.45587,1.46267,1.4525,1.45814
4/26/2011 21:00:00,1.45828,1.46574,1.44931,1.46433
4/27/2011 21:00:00,1.4638,1.47948,1.46323,1.47879
4/28/2011 21:00:00,1.47786,1.48816,1.47681,1.48234
5/1/2011 21:00:00,1.48236,1.48776,1.48036,1.48275
5/2/2011 21:00:00,1.48263,1.49017,1.4762,1.48292
5/3/2011 21:00:00,1.48289,1.48897,1.47541,1.48257
5/4/2011 21:00:00,1.48263,1.49399,1.47745,1.48267
5/5/2011 21:00:00,1.48186,1.4899,1.45097,1.45421
5/8/2011 21:00:00,1.45416,1.45873,1.43091,1.43561
5/9/2011 21:00:00,1.43538,1.44421,1.42542,1.43611
5/10/2011 21:00:00,1.4362,1.44124,1.42701,1.44098
5/11/2011 21:00:00,1.441,1.44233,1.4172,1.41916
5/12/2011 21:00:00,1.41923,1.42762,1.41231,1.42413
5/15/2011 21:00:00,1.42408,1.43391,1.40661,1.41166
5/16/2011 21:00:00,1.40891,1.42442,1.40478,1.41551
5/17/2011 21:00:00,1.4156,1.42382,1.41196,1.42363
5/18/2011 21:00:00,1.42346,1.42866,1.41946,1.42466
5/19/2011 21:00:00,1.42426,1.43249,1.4206,1.43094
5/22/2011 21:00:00,1.43082,1.43453,1.41327,1.41596
5/23/2011 21:00:00,1.41208,1.41454,1.39689,1.40447
5/24/2011 21:00:00,1.40453,1.41329,1.40017,1.4098
5/25/2011 21:00:00,1.40972,1.41179,1.40131,1.40869
5/26/2011 21:00:00,1.40823,1.42061,1.40675,1.41419
5/29/2011 21:00:00,1.41392,1.43235,1.41249,1.42991
5/30/2011 21:00:00,1.43083,1.43199,1.42564,1.42801
5/31/2011 21:00:00,1.42808,1.44237,1.42778,1.43959
6/1/2011 21:00:00,1.43921,1.44585,1.43207,1.43244
6/2/2011 21:00:00,1.43238,1.45138,1.43066,1.44961
6/5/2011 21:00:00,1.44923,1.46423,1.44504,1.46252
6/6/2011 21:00:00,1.46251,1.46579,1.45569,1.45731
6/7/2011 21:00:00,1.45726,1.46963,1.45634,1.46906
6/8/2011 21:00:00,1.46934,1.46941,1.45639,1.45777
6/9/2011 21:00:00,1.45721,1.46526,1.44773,1.45029
6/12/2011 21:00:00,1.45041,1.45506,1.43122,1.43234
6/13/2011 21:00:00,1.43235,1.44298,1.43206,1.44139
6/14/2011 21:00:00,1.44138,1.44972,1.4378,1.44397
6/15/2011 21:00:00,1.44389,1.44511,1.4156,1.41776
6/16/2011 21:00:00,1.41704,1.42213,1.40728,1.42054
6/19/2011 21:00:00,1.42009,1.43393,1.41268,1.43025
6/20/2011 21:00:00,1.42785,1.43276,1.41909,1.43062
6/21/2011 21:00:00,1.43059,1.44223,1.43028,1.44109
6/22/2011 21:00:00,1.44053,1.44415,1.43412,1.43516
6/23/2011 21:00:00,1.43478,1.43561,1.4126,1.42536
6/26/2011 21:00:00,1.42511,1.43062,1.41413,1.41869
6/27/2011 21:00:00,1.41918,1.42935,1.41024,1.42862
6/28/2011 21:00:00,1.42864,1.43968,1.42368,1.43704
6/29/2011 21:00:00,1.43715,1.44478,1.43186,1.44334
6/30/2011 21:00:00,1.44356,1.45376,1.44267,1.45021
7/3/2011 21:00:00,1.45025,1.45517,1.44362,1.45311
7/4/2011 21:00:00,1.45363,1.45773,1.44952,1.45328
7/5/2011 21:00:00,1.45327,1.45532,1.43967,1.44251
7/6/2011 21:00:00,1.44242,1.44663,1.42859,1.43181
7/7/2011 21:00:00,1.43185,1.43743,1.42206,1.43602
7/10/2011 21:00:00,1.43603,1.43685,1.42051,1.42123
7/11/2011 21:00:00,1.42122,1.42271,1.39861,1.4029
7/12/2011 21:00:00,1.40283,1.40616,1.38371,1.39762
7/13/2011 21:00:00,1.39636,1.41923,1.39511,1.4163
7/14/2011 21:00:00,1.41972,1.42819,1.4115,1.41422
7/17/2011 21:00:00,1.41423,1.41984,1.40919,1.41548
7/18/2011 21:00:00,1.41038,1.41342,1.40139,1.41145
7/19/2011 21:00:00,1.41146,1.4217,1.40683,1.41508
7/20/2011 21:00:00,1.41511,1.42394,1.41328,1.42134
7/21/2011 21:00:00,1.42141,1.44338,1.41384,1.44234
7/24/2011 21:00:00,1.44233,1.44373,1.43234,1.43838
7/25/2011 21:00:00,1.43895,1.4416,1.43247,1.43762
7/26/2011 21:00:00,1.4375,1.45254,1.43568,1.45096
7/27/2011 21:00:00,1.45093,1.45357,1.43383,1.43681
7/28/2011 21:00:00,1.43655,1.44001,1.42531,1.43332
7/31/2011 21:00:00,1.43323,1.44128,1.42291,1.4371
8/1/2011 21:00:00,1.43703,1.44532,1.41842,1.42472
8/2/2011 21:00:00,1.42473,1.42827,1.41507,1.4202
8/3/2011 21:00:00,1.41918,1.4344,1.41426,1.43241
8/4/2011 21:00:00,1.43235,1.43715,1.40875,1.40881
8/7/2011 21:00:00,1.40887,1.42975,1.40545,1.42751
8/8/2011 21:00:00,1.44156,1.44277,1.41288,1.41703
8/9/2011 21:00:00,1.41705,1.43758,1.41519,1.43743
8/10/2011 21:00:00,1.43738,1.4401,1.41616,1.41762
8/11/2011 21:00:00,1.41753,1.42941,1.41034,1.42373
8/14/2011 21:00:00,1.42403,1.42911,1.41491,1.42653
8/15/2011 21:00:00,1.42654,1.44768,1.42362,1.44432
8/16/2011 21:00:00,1.44407,1.44717,1.43541,1.44055
8/17/2011 21:00:00,1.44026,1.4517,1.43242,1.44243
8/18/2011 21:00:00,1.44217,1.44519,1.42711,1.43322
8/21/2011 21:00:00,1.43319,1.44525,1.42589,1.43951
8/22/2011 21:00:00,1.43767,1.4434,1.4347,1.43575
8/23/2011 21:00:00,1.43576,1.44997,1.43533,1.444
8/24/2011 21:00:00,1.44405,1.44812,1.43779,1.44134
8/25/2011 21:00:00,1.44135,1.44744,1.43275,1.43771
8/28/2011 21:00:00,1.43768,1.45012,1.43285,1.4498
8/29/2011 21:00:00,1.44976,1.45486,1.44656,1.45097
8/30/2011 21:00:00,1.45095,1.45327,1.43841,1.44404
8/31/2011 21:00:00,1.44403,1.44688,1.43583,1.43684
9/1/2011 21:00:00,1.43683,1.4385,1.42262,1.42577
9/4/2011 21:00:00,1.42581,1.42878,1.41603,1.41605
9/5/2011 21:00:00,1.41598,1.41758,1.406,1.40974
9/6/2011 21:00:00,1.4097,1.42849,1.39717,1.39968
9/7/2011 21:00:00,1.39966,1.41493,1.39904,1.4097
9/8/2011 21:00:00,1.40967,1.40991,1.38722,1.38795
9/11/2011 21:00:00,1.38797,1.39362,1.36264,1.36527
9/12/2011 21:00:00,1.35858,1.36941,1.34987,1.3678
9/13/2011 21:00:00,1.3681,1.37386,1.35573,1.36774
9/14/2011 21:00:00,1.36768,1.37828,1.35909,1.37521
9/15/2011 21:00:00,1.37519,1.39364,1.3703,1.3875
9/18/2011 21:00:00,1.3875,1.38927,1.37532,1.37898
9/19/2011 21:00:00,1.36912,1.37207,1.35858,1.3685
9/20/2011 21:00:00,1.36843,1.37441,1.3593,1.36989
9/21/2011 21:00:00,1.36982,1.37962,1.35626,1.35713
9/22/2011 21:00:00,1.35705,1.36003,1.33842,1.34637
9/25/2011 21:00:00,1.34591,1.35666,1.34178,1.35203
9/26/2011 21:00:00,1.35192,1.35497,1.33617,1.35328
9/27/2011 21:00:00,1.35314,1.36679,1.34784,1.35798
9/28/2011 21:00:00,1.358,1.36896,1.35322,1.35401
9/29/2011 21:00:00,1.35399,1.36789,1.35191,1.35956
10/2/2011 21:00:00,1.35953,1.36007,1.3338,1.33381
10/3/2011 21:00:00,1.33419,1.33807,1.31666,1.31729
10/4/2011 21:00:00,1.31737,1.33684,1.31451,1.33476
10/5/2011 21:00:00,1.33467,1.33834,1.32596,1.33474
10/6/2011 21:00:00,1.33471,1.34505,1.32412,1.34359
10/9/2011 21:00:00,1.34358,1.35244,1.33603,1.3381
10/10/2011 21:00:00,1.33809,1.36979,1.33772,1.36392
10/11/2011 21:00:00,1.36391,1.36835,1.35647,1.36374
10/12/2011 21:00:00,1.36375,1.38334,1.3582,1.37878
10/13/2011 21:00:00,1.37885,1.38259,1.36848,1.37763
10/16/2011 21:00:00,1.37751,1.38936,1.37229,1.38659
10/17/2011 21:00:00,1.38674,1.39139,1.3725,1.37364
10/18/2011 21:00:00,1.37355,1.3817,1.36523,1.37499
10/19/2011 21:00:00,1.37498,1.38688,1.37246,1.37579
10/20/2011 21:00:00,1.37582,1.38431,1.36556,1.37774
10/23/2011 21:00:00,1.37757,1.3901,1.37037,1.38846
10/24/2011 21:00:00,1.3839,1.3956,1.38214,1.39276
10/25/2011 21:00:00,1.3927,1.396,1.3848,1.3904
10/26/2011 21:00:00,1.39039,1.39742,1.3797,1.39026
10/27/2011 21:00:00,1.3902,1.42462,1.3863,1.41867
10/30/2011 21:00:00,1.4187,1.41994,1.41326,1.4143
10/31/2011 21:00:00,1.41498,1.41703,1.38273,1.38543
11/1/2011 21:00:00,1.38542,1.387,1.36072,1.36996
11/2/2011 21:00:00,1.36994,1.38277,1.36349,1.37441
11/3/2011 21:00:00,1.37443,1.38539,1.36554,1.38221
11/6/2011 22:00:00,1.3822,1.38678,1.37096,1.3786
11/7/2011 22:00:00,1.38252,1.38295,1.36802,1.37722
11/8/2011 22:00:00,1.37715,1.38461,1.37234,1.3831
11/9/2011 22:00:00,1.38314,1.38584,1.35222,1.35399
11/10/2011 22:00:00,1.35403,1.3652,1.34832,1.36027
11/13/2011 22:00:00,1.36026,1.37941,1.35775,1.37447
11/14/2011 22:00:00,1.38071,1.38077,1.35907,1.36314
11/15/2011 22:00:00,1.36315,1.36397,1.34954,1.35377
11/16/2011 22:00:00,1.35376,1.35565,1.34278,1.34596
11/17/2011 22:00:00,1.34597,1.35392,1.34206,1.34548
11/20/2011 22:00:00,1.34533,1.36134,1.34458,1.35201
11/21/2011 22:00:00,1.35066,1.354,1.34293,1.34876
11/22/2011 22:00:00,1.34893,1.3568,1.34684,1.35023
11/23/2011 22:00:00,1.35018,1.35302,1.33193,1.33403
11/24/2011 22:00:00,1.33408,1.34108,1.3315,1.33442
11/27/2011 22:00:00,1.33443,1.335,1.32115,1.32343
11/28/2011 22:00:00,1.33215,1.3398,1.32718,1.3318
11/29/2011 22:00:00,1.33181,1.34415,1.32849,1.33145
11/30/2011 22:00:00,1.3316,1.35323,1.32585,1.34443
12/1/2011 22:00:00,1.34442,1.35204,1.34164,1.34591
12/4/2011 22:00:00,1.34585,1.35483,1.33622,1.33873
12/5/2011 22:00:00,1.34199,1.34857,1.3374,1.33987
12/6/2011 22:00:00,1.33996,1.34272,1.33326,1.34002
12/7/2011 22:00:00,1.33995,1.34525,1.33503,1.34105
12/8/2011 22:00:00,1.34122,1.34588,1.32883,1.33381
12/11/2011 22:00:00,1.33383,1.34332,1.32808,1.33813
12/12/2011 22:00:00,1.33784,1.33796,1.31623,1.31881
12/13/2011 22:00:00,1.31871,1.32361,1.3008,1.30332
12/14/2011 22:00:00,1.30329,1.30638,1.29442,1.29814
12/15/2011 22:00:00,1.29812,1.30494,1.29565,1.3015
12/18/2011 22:00:00,1.30172,1.30835,1.29943,1.30278
12/19/2011 22:00:00,1.30384,1.30431,1.2982,1.29926
12/20/2011 22:00:00,1.29929,1.3131,1.29921,1.30801
12/21/2011 22:00:00,1.308,1.31967,1.30242,1.30446
12/22/2011 22:00:00,1.30445,1.31185,1.30162,1.30466
12/25/2011 22:00:00,1.3048,1.30954,1.30251,1.3057
12/26/2011 22:00:00,1.3057,1.30816,1.30447,1.3057
12/27/2011 22:00:00,1.30536,1.30824,1.30401,1.30654
12/28/2011 22:00:00,1.30656,1.30796,1.29109,1.29396
12/29/2011 22:00:00,1.29401,1.2964,1.28572,1.29595
1/1/2012 22:00:00,1.29596,1.2998,1.2903,1.29475
1/2/2012 22:00:00,1.2929,1.29698,1.29166,1.29325
1/3/2012 22:00:00,1.29326,1.30761,1.29307,1.30516
1/4/2012 22:00:00,1.30546,1.30721,1.28967,1.29385
1/5/2012 22:00:00,1.29382,1.29456,1.27693,1.27855
1/8/2012 22:00:00,1.27848,1.28119,1.26962,1.27158
1/9/2012 22:00:00,1.26926,1.27844,1.26655,1.27633
1/10/2012 22:00:00,1.27627,1.28175,1.27419,1.27757
1/11/2012 22:00:00,1.27755,1.2789,1.26607,1.27044
1/12/2012 22:00:00,1.27051,1.28442,1.26984,1.28127
1/15/2012 22:00:00,1.28121,1.28773,1.26228,1.26738
1/16/2012 22:00:00,1.26321,1.26872,1.26253,1.26657
1/17/2012 22:00:00,1.26656,1.28085,1.26488,1.27345
1/18/2012 22:00:00,1.27362,1.28677,1.27338,1.28631
